Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team,Comp
Devyne Rensch,nl NED,DF,22,5,3,231,0,1,0,0,0,0.1,0.7,Roma,it Serie A
Guillaume Restes,fr FRA,GK,19,21,21,1823,0,0,0,0,0,0.0,0.0,Toulouse,fr Ligue 1
Mateo Retegui,it ITA,FW,25,25,21,1533,21,4,19,2,0,12.8,3.0,Atalanta,it Serie A
Elvis Rexhbeçaj,xk KVX,MF,27,18,18,1395,1,1,1,7,0,1.1,0.7,Augsburg,de Bundesliga
Gio Reyna,us USA,MF,22,14,3,328,2,0,2,3,0,0.2,0.2,Dortmund,de Bundesliga
Chadi Riad,ma MAR,DF,21,1,1,90,0,0,0,0,0,0.0,0.0,Crystal Palace,eng Premier League
Alexsandro Ribeiro,br BRA,DF,25,21,21,1890,0,1,0,7,0,1.3,0.2,Lille,fr Ligue 1
Samuele Ricci,it ITA,MF,23,26,26,2189,1,1,1,6,0,1.2,0.4,Torino,it Serie A
Declan Rice,eng ENG,MF,26,25,23,1976,1,5,1,5,1,1.7,5.5,Arsenal,eng Premier League
Chris Richards,us USA,DF,24,16,14,1248,0,0,0,1,0,0.4,0.1,Crystal Palace,eng Premier League
Amir Richardson,ma MAR,MF,23,19,6,720,0,0,0,5,0,0.4,0.2,Fiorentina,it Serie A
Richarlison,br BRA,FW,27,9,2,279,2,1,2,1,0,1.2,0.9,Tottenham,eng Premier League
Diego Rico,es ESP,DF,32,24,23,2067,0,2,0,5,0,0.3,1.9,Getafe,es La Liga
Fabian Rieder,ch SUI,"MF,FW",23,18,6,671,1,3,1,0,0,1.2,1.9,Stuttgart,de Bundesliga
Luis Rioja,es ESP,FW,31,1,0,23,0,0,0,0,0,0.0,0.1,Alavés,es La Liga
Rodrigo Riquelme,es ESP,"DF,MF",24,11,4,414,0,1,0,0,0,0.7,0.6,Atlético Madrid,es La Liga
Alberto Risco,es ESP,"MF,FW",19,5,0,69,0,0,0,0,0,0.2,0.1,Getafe,es La Liga
Mihailo Ristić,rs SRB,"MF,DF",29,5,3,202,0,1,0,1,0,0.0,0.0,Celta Vigo,es La Liga
Lars Ritzka,de GER,"DF,MF",26,14,8,646,0,0,0,1,0,0.3,0.2,St. Pauli,de Bundesliga
Gorka Rivera Alonso,es ESP,"DF,MF",20,1,0,20,0,0,0,0,0,0.0,0.0,Getafe,es La Liga
Sergi Roberto,es ESP,MF,33,10,7,619,0,1,0,3,0,0.7,0.7,Como,it Serie A
Andrew Robertson,sct SCO,DF,30,26,24,1971,0,0,0,3,1,0.8,4.0,Liverpool,eng Premier League
Antonee Robinson,us USA,DF,27,27,26,2359,0,10,0,6,0,0.7,3.6,Fulham,eng Premier League
Marc Roca,es ESP,MF,28,14,11,906,2,2,2,4,0,1.1,1.0,Betis,es La Liga
Rodri,es ESP,MF,28,2,1,65,0,0,0,0,0,0.0,0.0,Manchester City,eng Premier League
Álvaro Rodríguez,uy URU,FW,20,15,4,548,2,0,2,3,0,0.7,0.2,Getafe,es La Liga
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",26,19,9,901,1,3,1,4,1,1.2,1.0,Leganés,es La Liga
Damián Rodríguez,es ESP,MF,21,12,6,655,0,0,0,2,0,0.0,0.5,Celta Vigo,es La Liga
Dani Rodríguez,es ESP,"MF,FW",36,26,19,1576,4,6,4,2,0,2.5,2.8,Mallorca,es La Liga
Guido Rodríguez,ar ARG,MF,30,19,14,1017,0,0,0,5,0,0.2,0.1,West Ham,eng Premier League
James Rodríguez,co COL,"MF,FW",33,6,1,140,0,0,0,1,0,0.3,0.2,Rayo Vallecano,es La Liga
Javi Rodríguez,es ESP,DF,21,24,17,1662,2,2,2,5,0,1.5,0.9,Celta Vigo,es La Liga
Jesus Rodríguez,es ESP,FW,19,10,8,612,1,0,1,0,0,0.9,0.1,Betis,es La Liga
Kirian Rodríguez,es ESP,MF,29,21,21,1758,0,3,0,2,0,1.6,1.5,Las Palmas,es La Liga
Ricardo Rodríguez,ch SUI,DF,32,12,9,779,0,0,0,0,0,0.1,0.3,Betis,es La Liga
Rodrygo,br BRA,FW,24,23,18,1578,6,5,6,0,0,3.6,2.8,Real Madrid,es La Liga
Mads Roerslev,dk DEN,DF,25,19,11,1101,0,2,0,2,0,0.2,3.0,Brentford,eng Premier League
Morgan Rogers,eng ENG,"FW,MF",22,27,27,2247,7,4,7,8,0,4.8,4.9,Aston Villa,eng Premier League
Merlin Röhl,de GER,"MF,FW",22,16,11,912,0,1,0,2,0,0.8,1.6,Freiburg,de Bundesliga
Alessio Romagnoli,it ITA,DF,30,22,21,1773,0,0,0,1,1,1.1,0.1,Lazio,it Serie A
Leo Román,es ESP,GK,24,5,5,450,0,0,0,0,0,0.0,0.0,Mallorca,es La Liga
Carlos Romero,es ESP,"DF,MF",23,21,15,1393,2,1,2,5,0,1.3,0.9,Espanyol,es La Liga
Cristian Romero,ar ARG,DF,26,12,12,974,1,0,1,1,0,1.1,0.5,Tottenham,eng Premier League
Isaac Romero,es ESP,FW,24,22,21,1728,3,2,3,8,0,4.7,2.0,Sevilla,es La Liga
Luka Romero,ar ARG,"FW,MF",20,6,2,199,0,0,0,0,0,0.8,0.2,Alavés,es La Liga
Oriol Romeu,es ESP,MF,33,17,14,1064,0,0,0,5,0,0.1,0.2,Girona,es La Liga
Valentin Rongier,fr FRA,"MF,DF",30,16,9,854,2,1,2,3,0,0.8,0.9,Marseille,fr Ligue 1
Marten de Roon,nl NED,"MF,DF",33,26,24,2158,3,3,3,5,0,0.4,1.7,Atalanta,it Serie A
Vitor Roque,br BRA,FW,20,22,14,1235,4,0,4,4,0,6.1,1.2,Betis,es La Liga
Pablo Rosario,nl NED,"MF,DF",28,20,15,1272,2,1,1,2,1,3.0,0.4,Nice,fr Ligue 1
Lasse Rosenboom,de GER,DF,23,16,11,993,1,1,1,0,0,0.5,0.8,Holstein Kiel,de Bundesliga
Max Rosenfelder,de GER,DF,22,18,8,850,0,0,0,1,0,0.1,0.6,Freiburg,de Bundesliga
Valentin Rosier,fr FRA,DF,28,23,19,1813,0,2,0,6,0,0.3,0.6,Leganés,es La Liga
Tom Rothe,de GER,"DF,MF",20,18,14,1200,2,2,2,4,1,1.6,1.3,Union Berlin,de Bundesliga
Anthony Rouault,fr FRA,DF,23,1,1,72,0,0,0,0,0,0.1,0.0,Rennes,fr Ligue 1
Jonas Rouhi,se SWE,DF,21,5,1,210,0,0,0,0,0,0.0,0.0,Juventus,it Serie A
Jérôme Roussillon,fr FRA,"DF,MF",32,5,1,111,0,0,0,0,0,0.1,0.0,Union Berlin,de Bundesliga
Nicolò Rovella,it ITA,MF,23,23,21,1914,0,2,0,10,0,0.7,1.8,Lazio,it Serie A
Jon Rowe,eng ENG,"FW,MF",21,19,3,498,2,2,2,2,0,2.9,3.8,Marseille,fr Ligue 1
Amir Rrahmani,xk KVX,DF,31,27,27,2430,1,2,1,2,0,2.1,0.6,Napoli,it Serie A
Tommaso Rubino,it ITA,MF,18,1,0,8,0,0,0,0,0,0.0,0.0,Fiorentina,it Serie A
Antonio Rüdiger,de GER,DF,32,24,22,1901,0,0,0,3,0,1.3,0.2,Real Madrid,es La Liga
Matteo Ruggeri,it ITA,DF,22,22,17,1479,0,2,0,2,0,0.2,1.6,Atalanta,it Serie A
Aitor Ruibal,es ESP,"FW,DF",28,19,7,677,0,2,0,3,0,0.6,1.3,Betis,es La Liga
Abel Ruiz,es ESP,FW,25,17,14,1099,4,0,3,3,0,4.5,0.4,Girona,es La Liga
Ferrán Ruiz,es ESP,MF,21,1,0,18,0,0,0,0,0,0.0,0.0,Girona,es La Liga
Fabián Ruiz Peña,es ESP,MF,28,23,15,1426,3,1,3,0,0,3.5,2.7,Paris S-G,fr Ligue 1
Gerónimo Rulli,ar ARG,GK,32,24,24,2160,0,0,0,1,0,0.0,0.0,Marseille,fr Ligue 1
Georginio Rutter,fr FRA,"FW,MF",22,26,17,1506,5,3,5,2,0,4.6,2.3,Brighton,eng Premier League
Mathew Ryan,au AUS,GK,32,4,4,360,0,0,0,0,0,0.0,0.0,Lens,fr Ligue 1
Julian Ryerson,no NOR,DF,27,19,19,1518,1,1,1,5,1,0.4,2.5,Dortmund,de Bundesliga
Frederik Rønnow,dk DEN,GK,32,19,19,1710,0,0,0,2,0,0.1,0.0,Union Berlin,de Bundesliga
José Sá,pt POR,GK,32,20,20,1800,0,0,0,1,0,0.0,0.1,Wolves,eng Premier League
Elias Saad,tn TUN,"FW,MF",25,11,6,563,2,2,2,1,0,1.2,0.6,St. Pauli,de Bundesliga
Youssouf Sabaly,sn SEN,DF,32,16,14,1177,0,0,0,1,0,0.1,0.6,Betis,es La Liga
Emmanuel Sabbi,us USA,"FW,MF",27,15,7,653,0,0,0,1,0,1.9,0.6,Le Havre,fr Ligue 1
Stefano Sabelli,it ITA,DF,32,24,16,1480,0,1,0,2,0,0.1,1.2,Genoa,it Serie A
Marcel Sabitzer,at AUT,"MF,FW",30,21,16,1424,0,0,0,2,0,1.6,0.8,Dortmund,de Bundesliga
Falaye Sacko,ml MLI,DF,29,11,10,869,0,1,0,1,0,0.0,0.1,Montpellier,fr Ligue 1
Umar Sadiq,ng NGA,FW,28,6,2,278,3,0,3,2,0,1.2,0.1,Valencia,es La Liga
Alexis Saelemaekers,be BEL,"DF,FW",25,15,11,883,6,2,6,3,0,1.9,2.4,Roma,it Serie A
Jorge Sáenz,es ESP,DF,28,14,11,940,1,0,1,2,1,0.5,0.1,Leganés,es La Liga
Matvei Safonov,ru RUS,GK,26,6,5,519,0,0,0,0,0,0.0,0.0,Paris S-G,fr Ligue 1
Modibo Sagnan,ml MLI,DF,25,21,19,1690,2,0,2,9,0,0.7,0.6,Montpellier,fr Ligue 1
Richie Sagrado,be BEL,DF,21,3,3,140,0,0,0,1,0,0.1,0.0,Venezia,it Serie A
Osame Sahraoui,ma MAR,"FW,MF",23,21,9,1056,3,3,3,1,0,2.6,3.1,Lille,fr Ligue 1
Wesley Saïd,fr FRA,"FW,MF",29,15,7,565,1,0,1,3,0,2.2,0.3,Lens,fr Ligue 1
Théo Sainte-Luce,fr FRA,DF,26,10,5,556,1,0,1,2,0,0.9,0.6,Montpellier,fr Ligue 1
Bukayo Saka,eng ENG,"FW,MF",23,16,16,1268,5,10,4,3,0,4.2,5.8,Arsenal,eng Premier League
Faik Sakar,de GER,MF,17,1,0,1,0,0,0,0,0,0.0,0.0,RB Leipzig,de Bundesliga
Marco Sala,it ITA,DF,25,8,3,261,0,0,0,3,0,0.0,0.1,Como,it Serie A
Ibrahim Salah,ma MAR,FW,23,12,4,358,1,1,1,0,0,0.6,0.6,Brest,fr Ligue 1
Mohamed Salah,eg EGY,FW,32,28,28,2478,25,17,18,1,0,20.1,10.9,Liverpool,eng Premier League
Anass Salah-Eddine,nl NED,DF,23,2,1,88,0,0,0,0,0,0.3,0.0,Roma,it Serie A
Amine Salama,fr FRA,FW,24,17,2,373,0,0,0,0,0,0.7,0.3,Reims,fr Ligue 1
Jan Salas,es ESP,MF,19,2,0,19,0,0,0,0,0,0.1,0.0,Mallorca,es La Liga
Kike Salas,es ESP,DF,22,20,14,1295,1,2,1,3,0,0.9,0.6,Sevilla,es La Liga
Manolis Saliakas,gr GRE,"MF,DF",28,20,17,1495,1,0,1,3,0,1.1,1.6,St. Pauli,de Bundesliga
William Saliba,fr FRA,DF,23,25,25,2184,2,0,2,2,1,2.1,0.5,Arsenal,eng Premier League
Mohammed Salisu,gh GHA,DF,25,13,11,1020,1,0,1,2,0,0.8,0.1,Monaco,fr Ligue 1
Roland Sallai,hu HUN,"FW,MF",27,2,0,46,0,0,0,0,0,0.1,0.1,Freiburg,de Bundesliga
Yoann Salmier,gf GUF,DF,32,13,9,797,0,0,0,3,0,0.8,0.2,Le Havre,fr Ligue 1
Lazar Samardzic,rs SRB,"MF,FW",23,24,6,964,2,1,2,2,0,1.8,1.7,Atalanta,it Serie A
Diadie Samassékou,ml MLI,MF,29,7,5,286,0,0,0,0,0,0.1,0.0,Hoffenheim,de Bundesliga
Mama Samba Baldé,gw GNB,FW,29,2,0,33,0,0,0,0,0,0.1,0.0,Lyon,fr Ligue 1
Brice Samba,fr FRA,GK,30,7,7,630,0,0,0,2,0,0.0,0.0,Rennes,fr Ligue 1
Albert Sambi Lokonga,be BEL,MF,25,15,12,1117,0,2,0,3,0,0.3,0.5,Sevilla,es La Liga
Junior Sambia,fr FRA,"FW,DF",28,9,0,124,0,0,0,0,0,0.1,0.0,Empoli,it Serie A
Chuky san jose,es ESP,"MF,FW",20,8,4,282,0,0,0,1,0,0.2,0.1,Valladolid,es La Liga
Antonio Sanabria,py PAR,FW,29,21,14,1122,2,1,2,1,0,2.7,0.5,Torino,it Serie A
Oihan Sancet,es ESP,MF,24,21,17,1347,13,1,11,2,0,8.3,1.4,Athletic Club,es La Liga
Alexis Sánchez,cl CHI,FW,36,8,4,305,0,0,0,0,0,0.6,0.0,Udinese,it Serie A
Antonio Sánchez,es ESP,"MF,DF",28,21,7,895,0,0,0,1,0,0.8,0.6,Mallorca,es La Liga
Iván Sánchez,es ESP,"MF,FW",32,21,7,853,1,1,1,4,0,0.3,1.4,Valladolid,es La Liga
Javi Sánchez,es ESP,DF,27,19,19,1569,1,0,1,3,0,0.4,0.2,Valladolid,es La Liga
Juanlu Sánchez,es ESP,"MF,DF",21,21,12,1101,4,3,4,4,1,1.8,1.1,Sevilla,es La Liga
Manu Sánchez,es ESP,DF,24,22,19,1688,0,0,0,6,0,0.7,0.4,Alavés,es La Liga
Robert Sánchez,es ESP,GK,27,21,21,1890,0,0,0,5,0,0.0,0.0,Chelsea,eng Premier League
Jadon Sancho,eng ENG,FW,24,21,14,1265,2,4,2,1,0,1.5,3.1,Chelsea,eng Premier League
Philipp Sander,de GER,MF,27,23,13,1161,1,0,1,2,0,1.0,0.6,Gladbach,de Bundesliga
James Sands,us USA,"MF,DF",24,7,5,453,0,0,0,1,0,0.1,0.0,St. Pauli,de Bundesliga
Leroy Sané,de GER,FW,29,20,11,1048,6,4,6,2,0,5.9,3.8,Bayern Munich,de Bundesliga
Arouna Sangante,sn SEN,DF,22,10,10,792,2,0,2,3,1,0.5,0.1,Le Havre,fr Ligue 1
Ibrahim Sangaré,ci CIV,MF,27,6,3,263,0,1,0,2,0,0.0,0.3,Nott'ham Forest,eng Premier League
Nhoa Sangui,fr FRA,"DF,MF",19,20,9,944,0,1,0,3,0,0.1,0.3,Reims,fr Ligue 1
Maroan Sannadi,es ESP,FW,24,4,2,180,1,0,1,0,0,1.9,0.2,Athletic Club,es La Liga
Kaishu Sano,jp JPN,MF,24,25,25,2233,0,0,0,3,0,0.6,0.6,Mainz 05,de Bundesliga
Nicola Sansone,it ITA,"MF,FW",33,5,0,65,0,0,0,1,0,0.2,0.0,Lecce,it Serie A
Baptiste Santamaria,fr FRA,MF,29,6,6,509,0,0,0,0,0,0.7,0.8,Nice,fr Ligue 1
Jesús Santiago,es ESP,MF,20,15,4,317,0,0,0,4,0,0.0,0.0,Getafe,es La Liga
Andrey Santos,br BRA,MF,20,22,22,1955,7,1,7,5,0,3.6,2.6,Strasbourg,fr Ligue 1
Kauã Santos,br BRA,GK,21,5,4,405,0,0,0,0,0,0.0,0.0,Eint Frankfurt,de Bundesliga
Tiago Santos,pt POR,DF,22,7,4,404,0,0,0,1,0,0.4,0.6,Lille,fr Ligue 1
Pablo Sarabia,es ESP,"MF,FW",32,13,6,497,1,1,1,2,0,2.4,0.7,Wolves,eng Premier League
Jeremy Sarmiento,ec ECU,MF,22,1,0,9,0,0,0,0,0,0.0,0.0,Brighton,eng Premier League
Amin Sarr,se SWE,FW,23,21,14,1075,3,1,3,0,0,1.7,1.8,Hellas Verona,it Serie A
Ismaila Sarr,sn SEN,"MF,FW",27,27,20,1840,6,3,6,3,0,6.4,5.2,Crystal Palace,eng Premier League
Malang Sarr,fr FRA,DF,26,12,10,924,0,0,0,0,0,0.2,0.1,Lens,fr Ligue 1
Mamadou Sarr,fr FRA,DF,19,18,18,1577,0,1,0,2,0,0.5,0.3,Strasbourg,fr Ligue 1
Martin Satriano,uy URU,"FW,DF",24,4,0,41,0,0,0,0,0,0.3,0.1,Lens,fr Ligue 1
Razvan Sava,ro ROU,GK,22,12,12,1080,0,0,0,1,0,0.0,0.0,Udinese,it Serie A
Téji Savanier,fr FRA,MF,33,22,22,1877,2,5,0,3,1,3.7,6.3,Montpellier,fr Ligue 1
Sávio,br BRA,"FW,MF",20,22,17,1439,1,7,1,2,0,4.2,5.6,Manchester City,eng Premier League
Nicolò Savona,it ITA,DF,21,22,16,1405,2,1,2,3,0,0.5,1.2,Juventus,it Serie A
Saba Sazonov,ge GEO,DF,23,1,0,3,0,0,0,0,0,0.0,0.0,Torino,it Serie A
Joe Scally,us USA,DF,22,23,23,1920,0,0,0,5,0,0.3,0.9,Gladbach,de Bundesliga
Giorgio Scalvini,it ITA,DF,21,6,4,272,0,0,0,2,0,0.1,0.0,Atalanta,it Serie A
Gianluca Scamacca,it ITA,FW,26,1,0,6,0,0,0,0,0,0.1,0.0,Atalanta,it Serie A
Oliver Scarles,eng ENG,DF,19,9,2,316,0,0,0,1,0,0.1,0.0,West Ham,eng Premier League
Dane Scarlett,eng ENG,FW,20,2,0,29,0,1,0,0,0,0.0,0.0,Tottenham,eng Premier League
Kevin Schade,de GER,FW,23,27,15,1401,7,2,7,2,0,5.4,2.7,Brentford,eng Premier League
András Schäfer,hu HUN,MF,25,16,10,876,1,1,1,2,0,0.5,0.7,Union Berlin,de Bundesliga
Fabian Schär,ch SUI,DF,33,23,22,1962,2,0,2,5,1,1.6,0.3,Newcastle Utd,eng Premier League
Patrik Schick,cz CZE,FW,29,21,11,981,16,0,16,3,0,9.4,0.6,Leverkusen,de Bundesliga
Stefan Schimmer,de GER,"FW,MF",30,10,0,222,0,0,0,1,0,1.1,0.3,Heidenheim,de Bundesliga
Joël Schingtienne,be BEL,DF,22,7,4,421,0,0,0,2,0,0.0,0.0,Venezia,it Serie A
Xaver Schlager,at AUT,MF,27,4,2,181,0,0,0,1,0,0.1,0.7,RB Leipzig,de Bundesliga
Keven Schlotterbeck,de GER,DF,27,16,14,1177,3,1,3,4,1,0.8,0.6,Augsburg,de Bundesliga
Nico Schlotterbeck,de GER,DF,25,20,20,1712,0,2,0,6,2,1.1,1.4,Dortmund,de Bundesliga
Jeffrey Schlupp,gh GHA,"MF,DF",32,12,0,103,0,0,0,0,0,0.2,0.2,Crystal Palace,eng Premier League
Romano Schmid,at AUT,MF,25,22,22,1958,1,3,1,3,0,2.3,4.0,Werder Bremen,de Bundesliga
Niklas Schmidt,de GER,MF,27,9,2,205,0,1,0,0,0,0.1,0.7,Toulouse,fr Ligue 1
Jan Schöppner,de GER,MF,25,23,22,1885,3,2,3,5,0,2.8,2.7,Heidenheim,de Bundesliga
Marvin Schulz,de GER,"DF,MF",30,9,3,267,0,0,0,2,0,0.0,0.7,Holstein Kiel,de Bundesliga
Alexander Schwolow,de GER,GK,32,5,5,450,0,0,0,0,0,0.0,0.0,Union Berlin,de Bundesliga
Léo Scienza,br BRA,"FW,MF",26,20,12,984,3,2,3,0,0,1.8,3.2,Heidenheim,de Bundesliga
Alex Scott,eng ENG,MF,21,11,2,360,0,0,0,1,0,0.2,0.3,Bournemouth,eng Premier League
Simone Scuffet,it ITA,GK,28,13,13,1170,0,0,0,0,0,0.0,0.0,Cagliari,it Serie A
Jérémy Sebas,mq MTQ,"FW,MF",21,13,1,190,0,0,0,0,0,0.7,0.0,Strasbourg,fr Ligue 1
Aleksandar Sedlar,rs SRB,DF,33,7,5,426,0,0,0,1,1,0.0,0.0,Alavés,es La Liga
Jacopo Seghetti,it ITA,GK,20,1,1,90,0,0,0,0,0,0.0,0.0,Empoli,it Serie A
Alidu Seidu,gh GHA,DF,24,11,10,803,0,0,0,4,0,0.1,0.3,Rennes,fr Ligue 1
Nicolas Seiwald,at AUT,"DF,MF",23,20,11,1272,0,0,0,1,0,0.1,0.9,RB Leipzig,de Bundesliga
Hiroki Sekine,jp JPN,DF,22,5,2,229,0,0,0,0,0,0.0,0.0,Reims,fr Ligue 1
Matz Sels,be BEL,GK,33,27,27,2430,0,0,0,2,0,0.0,0.0,Nott'ham Forest,eng Premier League
Nélson Semedo,pt POR,DF,31,23,22,1967,0,4,0,7,0,0.6,2.6,Wolves,eng Premier League
Antoine Semenyo,gh GHA,FW,25,26,26,2286,7,4,7,7,0,8.0,5.0,Bournemouth,eng Premier League
Marvin Senaya,tg TOG,DF,24,10,1,227,0,0,0,3,0,0.0,0.1,Strasbourg,fr Ligue 1
Marcos Senesi,ar ARG,DF,27,11,11,917,0,0,0,4,0,0.8,0.2,Bournemouth,eng Premier League
Stefano Sensi,it ITA,MF,29,8,2,211,1,0,0,0,0,0.9,0.0,Monza,it Serie A
Suat Serdar,de GER,MF,27,14,12,937,1,1,1,4,1,1.7,0.8,Hellas Verona,it Serie A
Sergi,es ESP,DF,32,25,24,2156,2,0,2,2,1,1.3,0.4,Leganés,es La Liga
Nicolás Serrano,es ESP,FW,22,4,1,112,0,0,0,0,0,0.2,0.0,Athletic Club,es La Liga
Benjamin Šeško,si SVN,"FW,MF",21,23,22,1701,10,4,9,2,1,6.8,1.4,RB Leipzig,de Bundesliga
Ryan Sessegnon,eng ENG,"DF,MF",24,5,1,90,1,0,1,0,0,0.4,0.3,Fulham,eng Premier League
Stephan El Shaarawy,it ITA,"DF,MF",32,21,11,940,3,3,3,2,0,2.3,1.0,Roma,it Serie A
Luke Shaw,eng ENG,DF,29,2,0,70,0,0,0,0,0,0.0,0.0,Manchester Utd,eng Premier League
Alen Sherri,al ALB,GK,27,6,6,540,0,0,0,0,0,0.0,0.0,Cagliari,it Serie A
Eldor Shomurodov,uz UZB,FW,29,16,4,471,2,2,2,1,0,1.8,0.3,Roma,it Serie A
Djibril Sidibé,fr FRA,DF,32,19,15,1342,0,2,0,1,0,0.3,2.2,Toulouse,fr Ligue 1
Armindo Sieb,de GER,"FW,MF",22,23,5,723,2,2,2,2,0,2.7,1.1,Mainz 05,de Bundesliga
Vincent Sierro,ch SUI,MF,29,20,18,1596,3,1,1,4,0,3.0,2.7,Toulouse,fr Ligue 1
Tim Siersleben,de GER,DF,24,8,6,522,0,0,0,2,0,0.3,0.2,Heidenheim,de Bundesliga
Zain Silcott-Duberry,ms MSR,FW,19,1,0,1,0,0,0,0,0,0.0,0.0,Bournemouth,eng Premier League
Kiliann Sildillia,fr FRA,DF,22,13,5,529,2,0,2,2,0,0.3,0.1,Freiburg,de Bundesliga
André Silva,pt POR,FW,29,4,2,226,0,0,0,1,0,1.6,0.1,Werder Bremen,de Bundesliga
Bernardo Silva,pt POR,"MF,FW",30,24,21,1933,2,4,2,5,0,2.9,4.0,Manchester City,eng Premier League
Caio Henrique Oliveira Silva,br BRA,DF,27,18,12,1158,0,4,0,1,0,0.1,4.2,Monaco,fr Ligue 1
Fábio Silva,pt POR,FW,22,18,16,1338,7,2,6,7,0,6.6,0.8,Las Palmas,es La Liga
Jota Silva,pt POR,"FW,MF",25,24,4,715,1,1,1,4,0,1.0,2.8,Nott'ham Forest,eng Premier League
Eric da Silva Moreira,de GER,"MF,DF",18,2,0,30,0,0,0,0,0,0.0,0.0,Nott'ham Forest,eng Premier League
Rui Silva,pt POR,GK,31,15,15,1350,0,0,0,1,0,0.0,0.1,Betis,es La Liga
Marco Silvestri,it ITA,GK,34,3,3,270,0,0,0,0,0,0.0,0.0,Empoli,it Serie A
Abdallah Sima,sn SEN,"FW,MF",23,19,9,856,3,2,3,2,0,2.9,0.8,Brest,fr Ligue 1
Mohamed Simakan,fr FRA,DF,24,1,1,54,0,0,0,0,0,0.0,0.3,RB Leipzig,de Bundesliga
Giovanni Simeone,ar ARG,FW,29,22,1,358,1,1,1,1,0,1.6,0.5,Napoli,it Serie A
Giuliano Simeone,ar ARG,"MF,DF",22,21,15,1120,1,4,1,3,0,1.8,2.9,Atlético Madrid,es La Liga
Moses Simon,ng NGA,"FW,MF",29,22,22,1810,6,7,3,1,0,4.5,5.4,Nantes,fr Ligue 1
Unai Simón,es ESP,GK,27,9,9,810,0,0,0,0,0,0.0,0.0,Athletic Club,es La Liga
Xavi Simons,nl NED,MF,21,16,16,1374,6,3,6,4,0,3.1,4.9,RB Leipzig,de Bundesliga
Jahmai Simpson-Pusey,eng ENG,DF,19,2,1,96,0,0,0,1,0,0.0,0.0,Manchester City,eng Premier League
Danel Sinani,lu LUX,"FW,MF",27,16,4,421,1,1,1,2,0,0.4,0.9,St. Pauli,de Bundesliga
Lassine Sinayoko,ml MLI,"FW,MF",25,24,18,1606,2,4,1,4,0,4.6,3.4,Auxerre,fr Ligue 1
Wilfried Singo,ci CIV,DF,24,18,14,1286,1,2,1,3,0,1.4,1.4,Monaco,fr Ligue 1
Luis Sinisterra,co COL,"FW,MF",25,10,1,217,1,1,1,0,0,1.2,1.0,Bournemouth,eng Premier League
Daley Sinkgraven,nl NED,DF,29,2,1,91,0,0,0,0,0,0.0,0.0,Las Palmas,es La Liga
Tobias Sippel,de GER,GK,36,1,0,59,0,0,0,0,0,0.0,0.0,Gladbach,de Bundesliga
Jailson Siqueira,br BRA,"DF,MF",29,9,5,465,0,0,0,0,0,0.1,0.0,Celta Vigo,es La Liga
Ayanda Sishuba,be BEL,FW,20,1,0,3,0,0,0,0,0,0.0,0.0,Rennes,fr Ligue 1
Ibrahim Sissoko,ml MLI,FW,29,16,8,808,3,1,2,1,0,4.3,0.6,Saint-Étienne,fr Ligue 1
Ibrahima Sissoko,ml MLI,MF,27,23,21,1872,1,1,1,5,0,1.0,0.8,Bochum,de Bundesliga
Niama Sissoko,ml MLI,"FW,MF",19,4,0,47,0,0,0,0,0,0.3,0.0,Reims,fr Ligue 1
Antonio Sivera,es ESP,GK,28,22,22,1943,0,0,0,4,0,0.0,0.1,Alavés,es La Liga
Tim Skarke,de GER,"FW,MF",28,23,8,828,0,1,0,1,0,1.8,0.8,Union Berlin,de Bundesliga
Ellyes Skhiri,tn TUN,MF,29,21,18,1535,0,1,0,5,0,0.6,1.1,Eint Frankfurt,de Bundesliga
Oliver Skipp,eng ENG,MF,24,16,7,779,0,0,0,4,0,0.1,0.2,Leicester City,eng Premier League
Leo Skiri Østigård,no NOR,DF,25,16,14,1227,1,0,1,4,0,0.7,0.2,Rennes,fr Ligue 1
Łukasz Skorupski,pl POL,GK,33,19,19,1710,0,0,0,1,0,0.0,0.0,Bologna,it Serie A
Andreas Skov Olsen,dk DEN,"MF,FW",25,5,1,204,0,1,0,0,0,0.2,1.2,Wolfsburg,de Bundesliga
Robert Skov,dk DEN,"DF,MF",28,15,11,852,2,2,1,1,0,1.7,2.4,Union Berlin,de Bundesliga
Milan Škriniar,sk SVK,DF,30,5,4,382,0,0,0,1,0,0.2,0.1,Paris S-G,fr Ligue 1
Steven Skrzybski,de GER,"FW,MF",32,14,6,645,4,1,3,0,0,2.8,1.0,Holstein Kiel,de Bundesliga
Naatan Skyttä,fi FIN,FW,22,1,0,5,0,0,0,0,0,0.0,0.0,Toulouse,fr Ligue 1
William Smallbone,ie IRL,MF,25,11,5,485,0,0,0,1,0,0.3,0.4,Southampton,eng Premier League
Adam Smith,eng ENG,DF,33,17,12,1035,0,0,0,4,0,0.6,0.1,Bournemouth,eng Premier League
Eric Smith,se SWE,DF,28,22,22,1927,1,0,1,5,0,0.9,1.2,St. Pauli,de Bundesliga
Justin Smith,ca CAN,MF,22,5,3,209,0,0,0,0,0,0.0,0.0,Espanyol,es La Liga
Emile Smith Rowe,eng ENG,MF,24,24,20,1572,5,2,5,1,0,4.0,1.1,Fulham,eng Premier League
