Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team,Comp
Loïc Bade,fr FRA,DF,24,21,20,1821,1,1,1,5,0,0.5,0.6,Sevilla,es La Liga
Milan Badelj,hr CRO,MF,36,21,19,1345,1,0,1,2,0,1.0,1.1,Genoa,it Serie A
Benoît Badiashile,fr FRA,DF,23,4,2,249,0,0,0,0,0,0.0,0.0,Chelsea,eng Premier League
Alex Baena,es ESP,"MF,FW",23,23,22,1908,6,7,6,8,0,5.5,8.1,Villarreal,es La Liga
Juma Bah,sl SLE,DF,18,12,10,864,0,0,0,1,0,0.3,0.0,Valladolid,es La Liga
Leon Bailey,jm JAM,"FW,MF",27,22,13,1093,1,2,1,3,0,1.6,1.5,Aston Villa,eng Premier League
Eric Bailly,ci CIV,DF,30,10,7,580,0,0,0,2,0,0.3,0.0,Villarreal,es La Liga
Theo Bair,ca CAN,FW,25,21,7,647,1,1,1,1,0,2.2,1.2,Auxerre,fr Ligue 1
Stefan Bajcetic,es ESP,"MF,DF",20,5,3,318,1,0,1,0,0,0.2,0.1,Las Palmas,es La Liga
Cédric Bakambu,cd COD,FW,33,16,5,515,1,2,1,4,0,2.2,0.6,Betis,es La Liga
Mitchel Bakker,nl NED,MF,24,1,0,22,0,0,0,0,0,0.0,0.0,Atalanta,it Serie A
Darryl Bakola,fr FRA,DF,17,1,0,12,0,0,0,1,0,0.0,0.0,Marseille,fr Ligue 1
Ridle Baku,de GER,"FW,MF",26,15,14,1170,2,1,2,2,0,1.5,1.3,Wolfsburg,de Bundesliga
Dilane Bakwa,fr FRA,"MF,FW",22,21,20,1744,3,6,3,3,0,3.7,4.6,Strasbourg,fr Ligue 1
Tommaso Baldanzi,it ITA,"MF,FW",21,20,3,592,1,1,1,1,0,1.2,0.3,Roma,it Serie A
Alejandro Balde,es ESP,DF,21,23,21,1789,0,3,0,1,0,0.4,2.6,Barcelona,es La Liga
Keita Baldé,sn SEN,"FW,MF",30,3,1,110,0,0,0,0,0,0.2,0.0,Monza,it Serie A
Carlos Baleba,cm CMR,MF,21,23,21,1777,2,1,2,7,1,2.4,0.9,Brighton,eng Premier League
Leonardo Balerdi,ar ARG,DF,26,20,20,1714,0,0,0,7,1,0.5,0.7,Marseille,fr Ligue 1
Iván Balliu,al ALB,DF,33,18,7,764,0,0,0,2,0,0.0,0.4,Rayo Vallecano,es La Liga
Fodé Ballo-Touré,sn SEN,DF,28,3,3,191,0,0,0,0,0,0.0,0.0,Le Havre,fr Ligue 1
Botond Balogh,hu HUN,DF,22,23,21,1778,0,1,0,4,0,0.2,0.1,Parma,it Serie A
Folarin Balogun,us USA,FW,23,7,6,469,3,0,3,0,0,3.8,0.9,Monaco,fr Ligue 1
Mario Balotelli,it ITA,"FW,MF",34,6,0,62,0,0,0,2,0,0.0,0.0,Genoa,it Serie A
Abdoulaye Bamba,ci CIV,DF,34,13,10,970,0,0,0,2,0,0.0,0.3,Angers,fr Ligue 1
Jonathan Bamba,ci CIV,"FW,MF",28,12,10,811,0,1,0,1,0,0.8,1.8,Celta Vigo,es La Liga
Mohamed Bamba,ci CIV,MF,20,2,0,10,0,0,0,0,0,0.0,0.0,Reims,fr Ligue 1
Samuel Bamba,de GER,"FW,DF",21,4,0,14,0,0,0,0,0,0.1,0.0,Bochum,de Bundesliga
Lameck Banda,zm ZAM,"FW,MF",24,10,6,500,0,1,0,1,0,0.7,0.9,Lecce,it Serie A
Daniel Bandeira,pt POR,MF,24,11,4,407,0,0,0,1,0,0.0,0.1,Hellas Verona,it Serie A
Mattia Bani,it ITA,DF,31,17,17,1333,0,0,0,3,0,0.7,0.2,Genoa,it Serie A
